ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCIBSPO22N000000001,한낮의 바다,독립서점,인문서적,25505,"강원도 강릉시 강릉대로159번안길 12 1층, 서점 한낮의 바다",37.75772063,128.8890879,12:00,18:00,12:00,18:00,12:00,18:00,,,"화요일, 수요일",01022849729,일상의 쉼을 이야기하는 책을 소개하는 셀렉트 북샵,"카페 있음, 독립출판물 있음"
KCIBSPO22N000000002,깨북,독립서점,인문서적,25504,강원도 강릉시 임영로 211,37.76008985,128.8918538,,,,,,,,,,07042344416,작은 독립책방,독립출판물 있음
KCIBSPO22N000000003,칠성조선소 북살롱,독립서점,인문서적,24838,강원도 속초시 중앙로46번길 45,38.19812772,128.5833088,11:00,19:00,11:00,19:00,11:00,19:00,,,,01057212309,SELECTED BOOK SHOP,
KCIBSPO22N000000004,책빵소,독립서점,일반,26423,강원도 원주시 금불4길 23 제1층 102호,37.3490959,127.9329991,13:00,20:00,13:00,20:00,13:00,20:00,,,월요일,01024811309,독립출판물 위주로 취급하는 독립서점,"주차 가능, 독립출판물 있음"
KCIBSPO22N000000005,실레책방,독립서점,인문서적,24412,강원도 춘천시 신동면 금병의숙1길 19,37.8135637,127.7175413,10:00,18:00,10:00,18:00,10:00,18:00,,,"화요일, 수요일",0332621508,책 읽고 긍릉 쓰는 장소. 매일 오후6시~11시 공간 대여,"주차 가능, 공간대여 가능, 독립출판물 있음, 헌책방 있음"
KCIBSPO22N000000006,책방마실,독립서점,북카페,24259,강원도 춘천시 전원길 27-1,37.87837259,127.7379276,12:00,22:00,12:00,22:00,12:00,19:00,,,,01099483205,춘천에 위치한 작은 서점,"카페 있음, 독립출판물 있음"
KCIBSPO22N000000007,서툰책방,독립서점,인문서적,24264,강원도 춘천시 향교옆길13번길 22,37.88283761,127.7327685,11:00,19:00,11:00,19:00,,,,,일요일,07077217276,큐레이션 책방,"주차 가능, 카페 있음, 독립출판물 있음, 독서모임 가능"
KCIBSPO22N000000008,이야기마을,독립서점,일반,10298,경기도 고양시 덕양구 원당로113번길 48-7,37.66347899,126.8359472,10:00,21:00,10:00,21:00,10:00,21:00,,,수요일,0319659990,"다양한 도서, 고양이, 음료","카페 있음, 독립출판물 있음"
KCIBSPO22N000000009,플라뇌즈,독립서점,일반,10460,경기도 고양시 덕양구 원당로59번길 49-24 203호,37.65862231,126.8312139,,,,,,,,,,01042571045,"국내외도서, 독립출판물 등 동네책방","카페 있음, 독립출판물 있음, 독서모임 가능"
KCIBSPO22N000000010,너의 작업실,독립서점,일반,10406,경기도 고양시 일산동구 일산로380번길 43-11,37.67095691,126.7830747,13:00,21:00,13:00,21:00,13:00,21:00,,,월요일,01050310440,"독립출판물과 굿즈, 커피 판매하며 다양한 모임이 열리는 공간","독립출판물 있음, 독서모임 가능"
KCIBSPO22N000000011,이랑,독립서점,일반,10240,경기도 고양시 일산서구 일현로 122 동성상가 1층 122호 이랑,37.69762029,126.7660619,10:00,18:00,,,,,,,"토요일, 일요일",07077692222,"서점화실, 일반서적 및 독립출판물 판매","독립출판물 있음, 북토크 가능, 독서모임 가능, 강연 가능,"
KCIBSPO22N000000012,고메북스,독립서점,북카페,10379,경기도 고양시 일산서구 중앙로 1470 동부썬프라자 B동 128호,37.67227362,126.7573465,12:00,19:00,12:00,19:00,,,,,일요일,01092488296,동네서점 독립출판 북카페&바,"독립출판물 있음, 독서모임 가능"
KCIBSPO22N000000013,북앤드로잉,독립서점,일반,14285,경기도 광명시 오리로1009번길 2 1층 북앤드로잉,37.48011008,126.8508954,14:00,20:00,14:00,20:00,,,,,"일요일, 월요일",07087773745,"그림 그리는 책방, 독립출판물 판매, 여행드로잉/책만들기 강의 등","독립출판물 있음, 독서모임 가능"
KCIBSPO22N000000014,책방 공책,독립서점,일반,14303,경기도 광명시 오리로619번길 32 1층,37.45498894,126.8769918,12:00,17:00,12:00,17:00,,,,,일요일,05061209696,인스타/카톡채널 운영시간 확인. 그림책과 독립출판물 인문서적 전문 취급,"공간대여 가능, 독립출판물 있음, 독서모임 가능"
KCIBSPO22N000000015,나인빌리지북스,독립서점,일반,11936,경기도 구리시 아차산로432번길 4 1층 나인빌리지북스,37.59339791,127.1315991,18:00,21:00,12:00,19:00,12:00,19:00,,,"월요일, 화요일",01062403643,독립출판물 취급 전문 서점,"독립출판물 있음, 독서모임 가능"
KCIBSPO22N000000016,서로의공간,독립서점,일반,11935,경기도 구리시 안골로8번길 67 101호,37.59458383,127.1329066,12:00,19:00,12:00,20:00,12:00,20:00,,,월요일,01020870187,독립출판물을 소개하고 판매하는 식물 서점,"카페 있음, 독립출판물 있음"
