ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO22N000000001,강릉야행북카페,북카페,북카페,25528,"강원 강릉시 임영로155번길 6 1층 45,47호",37.75507449,128.8908507,10:00,19:00,,,,,,,주말 및 공유일 휴무,0338233230,"가득 들어선 책장과 우드테이블, 조명을 통해 아기자기하고 따뜻한 느낌을 받을 수 있는 카페",카페 : 있음
KCCBSPO22N000000002,북카페 봄날에 연애,북카페,북카페,26417,강원 원주시 옛시청길 20,37.35267182,127.9445849,,,,,,,,,,01094664888,"텃밭에서 직접 키운 애플민트로 만드는 쿠바 정통 모힘또, 작가 사인본을 비롯한 신간을 판매",카페 : 있음
KCCBSPO22N000000003,북카페 책 있는 숲,북카페,북카페,26021,강원 태백시 황지로 28 / 3층,37.16134323,128.9907952,9:30,17:30,,,,,,,"주말 휴무, 공휴일 휴무",01093366765,"중고서적을 판매하며 여유롭게 차를 마실 수 있는 공간, 책도 읽고 공부도 할 수 있음","주차 : 가능, 카페 : 있음"
KCCBSPO22N000000004,북카페 뜨락,북카페,북카페,24114,강원 화천군 화천읍 산천어길 79,38.10878303,127.7115643,11:00,21:00,11:00,21:00,12:00,19:00,,,월요일 휴무,01034701305,"안락하고 모던한 분위기의 북카페, 밸런스 좋은 커피와 신선한 디저트 준비","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000005,한낮의 바다,독립서점,인문서적,25505,"강원도 강릉시 강릉대로159번안길 12 1층, 서점 한낮의 바다",37.75772063,128.8890879,12:00,18:00,12:00,18:00,12:00,18:00,,,"화요일, 수요일",01022849729,일상의 쉼을 이야기하는 책을 소개하는 셀렉트 북샵,"카페 : 있음, 독립출판물 : 있음"
KCCBSPO22N000000006,안목책방,북카페,북카페,25560,강원도 강릉시 경강로 2581 1층1호,37.77373799,128.9417205,12:00,21:00,12:00,21:00,12:00,21:00,,,"화요일 휴무, 월요일 휴무",0336511123,안목있는 분들이 좋은책 골라가시는 책방,"주차 : 가능, 카페 : 있음"
KCCBSPO22N000000007,명주사랑채,북카페,북카페,25538,강원도 강릉시 경강로2046번길 11,37.75087376,128.8931483,,,,,,,,,,0336404808,독서활동장소,"카페 : 있음, 리뷰여부 : 있음"
KCCBSPO22N000000008,북스북스,북카페,만화책,25510,강원도 강릉시 솔올로 66 문화빌딩 2층,37.76778024,128.8789814,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,,0336517277,만화카페,"화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000009,카페에세이,북카페,북카페,25429,강원도 강릉시 연곡면 영진길 33 ES프라우드 101호,37.87126334,128.8399422,9:00,22:00,,,,,,,,0336611253,영진해변과 도깨비 촬영지에서 가까워 피크닉 세트를 대영해서 해변에서 피크닉을 즐길 수 있음,"주차 : 가능, 카페 : 있음"
KCCBSPO22N000000010,고래책방,일반서점,북카페,25551,강원도 강릉시 율곡로 2848,37.75823514,128.8972155,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,연중무휴,0336410700,책과 은은한 커피와 빵굽는 냄새로 가득한 고래책방,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000011,책다방,북카페,북카페,25516,강원도 강릉시 정원로 78-9,37.76350145,128.8731987,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,,0336479804,"커피향보다 진한 사람냄새나는 북카페, 프랑스 자수에 관심있는 분들을 위한 자수 놓는 공간","주차 : 가능, 카페 : 있음"
KCCBSPO22N000000012,북카페 모모,카페,북카페,25532,강원도 강릉시 토성로 180 모모의 외출,37.75672359,128.8957596,,,,,,,,,,0336442030,독서활동장소,카페 : 있음
KCCBSPO22N000000013,마나카페,북카페,북카페,25768,강원도 동해시 대학로 14 105호,37.52167056,129.1136095,11:00,22:00,11:00,22:00,11:00,22:00,,,월요일 휴무,0335324458,독서활동장소,"화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000014,해뜰카페테리아,북카페,북카페,25701,강원도 동해시 동해대로 6261,37.59123873,129.0894075,,,,,,,,,,0335326896,독서활동장소,카페 : 있음
KCCBSPO22N000000015,카페인51,북카페,북카페,25813,강원도 동해시 오일장길 23-1 1층,37.48176917,129.1261654,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,,01081810215,"동해시 북평장에 위치한 카페, 다양한 음료와 디저트를 판매","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000016,서호책방,일반서점,북카페,25807,강원도 동해시 청운로 84 1동 103호,37.48757773,129.1030215,11:00,18:00,11:00,18:00,11:00,18:00,,,목요일,0335210491,큐레이션 책방과 카페,"주차 : 가능, 카페 : 있음"
KCCBSPO22N000000017,내고향탄광촌북까페,북카페,북카페,25947,강원도 삼척시 강원남부로 1446,37.23376667,129.0423632,,,,,,,,,,,독서활동장소,카페 : 있음
KCCBSPO22N000000018,만화인카페,북카페,만화책,25920,강원도 삼척시 진주로 26 신세기상가,37.44277223,129.1641855,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,,01077583497,만화케페,카페 : 있음
KCCBSPO22N000000019,설악산책,"카페,디저트",북카페,24867,강원도 속초시 관광로 439,38.19864821,128.5351101,9:00,21:30,9:00,22:00,9:00,22:00,,,"매 월 2,4번째 월요일 휴무",0336384002,"누구나 자유롭게 방문 가능한 복합 문화 공간, 1만여권의 도서를 열람할 수 있는 북카페","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000020,느린커피,북카페,북카페,24874,강원도 속초시 동해대로 4165,38.19109031,128.579272,11:00,23:00,11:00,23:00,11:00,21:00,,,,0336382881,다양한 메뉴와 책을 접할 수 있는 북카페[,"화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000021,서재,"카페,디저트",북카페,24827,강원도 속초시 번영로 142,38.21136465,128.5893674,15:00,22:00,15:00,22:00,15:00,22:00,,,,0336359282,책과 커피가 있는 작은 공간,"주차 : 가능, 카페 : 있음"
