ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,TEL_NO,FCLTY_LA,FCLTY_LO,ADIT_DC
KCOWRPO22N000000001,자연,자연_공원,백현체육공원,경상북도,구미시,경상북도 구미시 산동읍 송백로 497,,36.1864293,128.4784907,
KCOWRPO22N000000002,자연,자연_공원,둘모아공원,경상북도,구미시,"경상북도 구미시 봉곡남로20길 15(봉곡동, 봉곡2차아이파크)",,36.148431,128.3165939,
KCOWRPO22N000000003,자연,자연_공원,다붓1공원,경상북도,구미시,"경상북도 구미시 봉곡로24길 33-11(봉곡동, 봉곡e편한세상)",,36.156392,128.314372,
KCOWRPO22N000000004,자연,자연_공원,산림문화생태근린공원,경북,구미시,경상북도 구미시 산동읍 인덕2길 17-15,,36.1650992,128.4604655,
KCOWRPO22N000000005,자연,자연_공원,도담공원,경북,구미시,경상북도 구미시 옥계신당로5길 51-36,,36.141071,128.4230508,
KCOWRPO22N000000006,자연,자연_공원,우항공원,경상북도,구미시,경상북도 구미시 산동읍 신당4로1길 50,,36.1530288,128.4314654,
KCOWRPO22N000000007,자연,자연_공원,공원,경상북도,구미시,"경상북도 구미시 문장로 111(도량동, 도량 롯데캐슬 골드파크)",,36.1419103,128.3317618,
KCOWRPO22N000000008,자연,자연_공원,공원,경상북도,구미시,"경상북도 구미시 문장로 111(도량동, 도량 롯데캐슬 골드파크)",,36.1440239,128.330306,
KCOWRPO22N000000009,자연,자연_공원,양지공원,경상북도,구미시,경상북도 구미시 낙동강변로 917(신평동),,36.1256158,128.3589071,
KCOWRPO22N000000010,자연,자연_공원,상방공원,울산,북구,울산광역시 북구 두부곡1길 25,,35.5842563,129.368571,
KCOWRPO22N000000011,자연,자연_공원,화봉공원,울산,북구,울산광역시 북구 송내1길 15,,35.5894355,129.3648249,
KCOWRPO22N000000012,자연,자연_공원,수동공원,울산,북구,"울산광역시 북구 호계2길 31-4(호계동, 상록엔젤하우스)",,35.6248954,129.3574434,
KCOWRPO22N000000013,자연,자연_공원,매곡1어린이공원,울산광역시,북구,"울산광역시 북구 신천로 92(매곡동, 매곡푸르지오1단지)",,35.6435231,129.3536182,
KCOWRPO22N000000014,자연,자연_공원,초록빛공원,울산,남구,울산광역시 남구 왕생로10번길 16,,35.5346931,129.3343309,
KCOWRPO22N000000015,자연,자연_공원,강변공원,울산,남구,울산광역시 남구 왕생로144번길 36(삼산동),,35.5459539,129.3323042,
KCOWRPO22N000000016,자연,자연_공원,동평공원,울산,남구,울산광역시 남구 삼산로144번길 13(달동),,35.5345247,129.3240067,
KCOWRPO22N000000017,자연,자연_공원,희망공원,울산광역시,남구,"울산광역시 남구 번영로107번길 5(달동, 달동주공아파트)",,35.5339575,129.3272281,
KCOWRPO22N000000018,자연,자연_공원,정광공원,울산,남구,울산광역시 남구 삼호로 193,,35.5463028,129.2848514,
KCOWRPO22N000000019,자연,자연_공원,원동수변공원,경기,오산시,경기도 오산시 부원로87번길 51,,37.140907,127.091507,
KCOWRPO22N000000020,자연,자연_공원,가장동체육공원,경기,오산시,경기도 오산시 가장산업동로 49,,37.164782,127.041189,
KCOWRPO22N000000021,자연,자연_공원,청솔공원,울산광역시,남구,울산광역시 남구 봉월로38번길 32(신정동),,35.5366117,129.3101993,
KCOWRPO22N000000022,자연,자연_공원,문화공원,울산,남구,울산광역시 남구 번영로 200,,35.5428969,129.3270733,
KCOWRPO22N000000023,자연,자연_공원,봉월공원,울산,남구,울산광역시 남구 봉월로137번길 35,,35.5424442,129.3044988,
KCOWRPO22N000000024,자연,자연_공원,푸른공원,울산광역시,남구,"울산광역시 남구 동산로69번길 13(신정동, 문수로2차아이파크1단지)",,35.5365007,129.3029414,
KCOWRPO22N000000025,자연,자연_공원,헐수정공원,울산,남구,울산광역시 남구 신복로23번길 16,,35.5473879,129.2585825,
KCOWRPO22N000000026,자연,자연_공원,함박공원,인천,연수구,인천광역시 연수구 함박뫼로 127,,37.4222546,126.6810562,
KCOWRPO22N000000027,자연,자연_공원,갈미한글공원,경기,의왕시,경기도 의왕시 문화예술로 65,,37.377965,126.9849552,
KCOWRPO22N000000028,자연,자연_공원,아랫골공원,경기,의왕시,경기도 의왕시 부곡사길 6(삼동),,37.3177014,126.9581511,
KCOWRPO22N000000029,자연,자연_공원,고천체육공원,경기,의왕시,경기도 의왕시 오전로 18,,37.3479002,126.9823494,
KCOWRPO22N000000030,자연,자연_공원,부곡체육공원,경기,의왕시,경기도 의왕시 부곡공원길 6,,37.3146342,126.9587538,
KCOWRPO22N000000031,자연,자연_공원,내손공원,경기,의왕시,경기도 의왕시 내손공원길 39,,37.3872865,126.9831857,
KCOWRPO22N000000032,자연,자연_공원,신곡노을공원(고촌31호),경기,김포시,경기도 김포시 고촌읍 신곡로3번길 34-15,,37.6041357,126.7726878,
KCOWRPO22N000000033,자연,자연_공원,별내택지어린이공원3,경기,남양주시,"경기도 남양주시 별내3로 285(별내동, 남양주 별내 아이파크)",,37.6627159,127.1164707,
