FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,NEARBY_PBTRNSP_NM,PARKNG_POSBL_AT,BASE_DE
강릉병산옹심이골목,강원도 강릉시 병산동,42,42150,128.944649,37.759655,강원,자루뫼,유,20211231
아바이순대타운,강원도 속초시 금호동 492-51,42,42210,128.589145,38.204664,강원,관광수산시장,유,20211231
학사평콩꽃마을순두부촌,강원도 속초시 노학동,42,42210,128.529887,38.190603,강원,원암로입구,유,20211231
대포항원조튀김골목,강원도 속초시 대포동,42,42210,128.599662,38.174195,강원,대포항입구,유,20211231
새우튀김 골목,강원도 속초시 대포동 965,42,42210,128.607378,38.174254,강원,대포항입구,유,20211231
속초먹거리단지,강원도 속초시 먹거리7길 1,42,42210,128.574276,38.194125,강원,청초교,유,20211231
장사항횟집타운,강원도 속초시 장사동,42,42210,128.557909,38.214106,강원,우림연립,유,20211231
닭강정골목,강원도 속초시 중앙동,42,42210,128.589216,38.206376,강원,관광수산시장,유,20211231
오색약수산채음식촌,강원도 양양군 서면 오색리,42,42830,128.460992,38.083497,강원,오색,유,20211231
고씨굴칡국수촌,강원도 영월군 김삿갓면 진별리,42,42750,128.546766,37.145383,강원,고씨굴,유,20211231
다하누촌중앙광장,강원도 영월군 주천면 주천리,42,42750,128.287645,37.26719,강원,주천약국앞,,20211231
중앙시장만두칼국수골목,강원도 원주시 중앙동,42,42130,127.950558,37.349783,강원,평원로중앙시장,유,20211231
중앙로문화의거리,강원도 원주시 중앙동,42,42130,127.950558,37.349783,강원,평원로중앙시장,유,20211231
자유시장돈가스골목,강원도 원주시 중앙동,42,42130,127.950558,37.349783,강원,원일로중앙시장,유,20211231
원주한우골목,강원도 원주시 중앙동,42,42130,127.950558,37.349783,강원,강원감영,유,20211231
인제용대리황태마을,강원도 인제군 북면 용대리,42,42810,128.36517,38.188672,강원,용대삼거리,유,20211231
정선아리랑시장먹자골목,강원도 정선군 정선읍 봉양리,42,42770,128.639274,37.390814,강원,신용협동조합,,20211231
낙원동닭갈비골목,강원도 춘천시 낙원동,42,42110,127.724126,37.87927,강원,중앙시장,유,20211231
온의닭갈비거리,강원도 춘천시 온의동,42,42110,127.715795,37.861076,강원,남춘천역 경춘선,유,20211231
